id,lat,long,diam,type
10-0-001457,60859.16533010639,4074201.854781642,3.15716853,
10-0-001460,61455.53186150506,4107708.9434781424,5.18716307,1
10-0-001463,22005.26850100922,4130095.280729862,4.96778096,1
10-0-001465,2705.004721833172,4156701.8185753226,5.16678068,1
10-0-001467,52620.51503419378,4153154.0932935053,6.32800997,1
10-0-001468,2628.7280847555294,4198587.509153493,5.99850924,1
10-0-001474,50141.31459738732,4193705.632493517,6.52950443,1
10-0-001477,57714.407144298675,4212345.818696344,7.81008934,2
10-0-001479,59753.38865897247,4263879.5441129925,3.7209635,1
10-0-001486,13982.121835292972,4294895.907111846,3.53258261,1
10-0-001494,1766.2978937723103,4443674.715093918,4.49492503,
10-0-001495,34152.8694822138,4442146.163660911,3.48607814,1
10-0-001497,22331.11849175308,4426309.076968114,10.42050476,2
10-0-001506,73488.97930352084,4392113.861758717,3.15671444,1
10-0-001514,76540.45417405786,4284918.487574521,15.80661919,2
10-0-001515,67003.29018858084,4269775.859949011,12.09177498,2
10-0-001517,102816.73964692143,4216748.061854628,7.00279107,1
10-0-001521,66312.69946800315,4133874.471424886,12.2308526,2
10-0-001524,119697.9495719065,4160398.319766159,5.59042032,1
10-0-001525,123925.96699396962,4166075.4998217286,3.82487273,1
10-0-001528,97360.80827800404,4080658.378227937,3.06863499,
10-0-001529,104126.90431192717,4070744.05426154,3.16273132,1
10-0-001531,107098.26199695749,4056019.8642145684,6.2583403,
10-0-002123,174523.13174000595,4034503.853109448,4.60740886,1
10-0-002124,174119.84339310904,4050996.402449565,3.76866997,1
10-0-002126,145401.94768987835,4055718.185330244,3.68600499,1
10-0-002127,169656.07713364827,4065006.612399788,15.85704046,2
10-0-002132,197868.6672403055,4117358.666958278,3.38794185,1
10-0-002134,189302.30541737349,4212680.5716042025,3.60269447,1
10-0-002138,146644.28989129214,4271709.395542409,6.06175687,1
10-0-002140,184321.77610695816,4275868.327901914,7.27463718,1
10-0-002143,188494.9968405622,4324705.37735197,3.04724966,1
10-0-002144,150142.34587404103,4344220.163167995,3.84367525,1
10-0-002147,163785.47185963858,4415334.177575107,7.18597112,
10-0-002156,218421.59076806935,4336989.032707062,3.92911822,1
10-0-002160,233963.44771773662,4201549.2734098155,42.938825,2
10-0-002162,255921.36235619162,4139885.531320866,3.52672212,1
10-0-002164,260501.92459156667,4170877.5041462737,16.81622983,2
10-0-002170,213662.89473794127,4057710.4280414884,5.09469587,1
10-0-002172,241423.57381268582,4025666.7900562366,3.2981541,1
10-0-002617,316844.2823549846,4024656.7926775157,3.28794431,1
10-0-002619,290003.58580474637,4065005.578114184,8.58761123,2
10-0-002623,331036.0183789328,4128985.2219977784,3.00497818,
10-0-002626,273662.6540214861,4210216.609306111,3.59072503,1
10-0-002631,278031.1332373566,4270061.248686872,3.75222691,1
10-0-002642,279192.195704389,4440490.182906894,3.17126608,
10-0-002645,368567.6999599295,4445286.675585683,3.78106692,1
10-0-002647,336684.42834305775,4339638.974967563,3.30064192,1
10-0-002648,376484.87704171485,4359506.791800041,18.00246568,2
10-0-002649,377103.0116991884,4390511.936504536,8.83030979,2
10-0-002651,362621.12436334114,4282705.6124804495,3.62393467,1
10-0-002654,374586.5727723198,4258479.067759767,6.58205542,1
10-0-002662,371579.51362268976,4158688.3107771436,3.6862916,1
10-0-002664,349504.8235162184,4180407.631611166,21.53475512,2
10-0-002666,389236.502476066,4125284.0460730917,5.85068373,1
10-0-002668,390925.8086235441,4095433.602712434,3.03015901,
10-0-002675,328946.3753029945,4011932.9868587377,15.67164666,2
10-0-003161,418065.96250746056,4018780.4026944954,3.36843803,3
10-0-003170,454902.31912556186,4085375.996108645,3.48966429,1
10-0-003171,426945.7297611695,4082528.6629593903,3.04586506,
10-0-003172,398783.2192893543,4118610.6041887254,3.76854205,1
10-0-003173,406806.089098448,4200581.40909256,4.00866076,1
10-0-003174,430036.034380545,4172188.3784675286,5.76228309,1
10-0-003175,440782.9523914154,4171516.396293498,10.77691393,2
10-0-003179,407802.9232517029,4235224.73846845,3.27342887,1
10-0-003180,448854.8793447506,4226109.842000364,18.83193559,2
10-0-003183,436742.97295266547,4323290.725361739,3.95332874,1
10-0-003184,420803.29395925085,4328290.894066567,3.75652591,1
10-0-003187,429777.68103860965,4371233.614457311,3.36953743,1
10-0-003189,395666.53760128637,4429079.514983427,8.21526788,2
10-0-003190,411232.8214133838,4428888.392635968,6.34175731,1
10-0-003195,468588.9976036676,4376806.38204741,3.5257589,1
10-0-003196,475125.33257295605,4342458.301796393,3.05638579,
10-0-003198,478798.8942574068,4309732.028791732,8.66003817,2
10-0-003200,459960.85668646236,4251394.767328402,4.06620566,1
10-0-003201,499197.6250053346,4268094.368199728,3.31184238,1
10-0-003208,478028.6874908522,4144799.437049921,7.89697132,2
10-0-003210,504766.45407141175,4052941.3756414307,3.16186346,1
10-0-003681,562403.455281003,4017424.312607227,7.96300987,
10-0-003682,549365.5151119991,4037608.3730805805,3.69289673,1
10-0-003683,577386.1067216381,4052492.5798540534,3.14723156,1
10-0-003684,568007.4121832508,4067482.644721988,11.73869709,2
10-0-003691,551746.0247868672,4268145.280538207,3.35415334,1
10-0-003693,564407.5655453163,4314705.755940603,4.43429726,1
10-0-003694,576663.8753966144,4303368.718483391,13.11217334,2
10-0-003697,528813.7255643043,4405677.995292542,23.77116656,2
10-0-003703,587922.5356389924,4237423.845413337,4.19084804,1
10-0-003704,592997.9941716687,4188543.9060062724,15.66184015,2
10-0-003707,586537.2664284763,4094055.496270546,3.3367036,1
10-0-003710,619569.9939904751,4120222.0330162,12.62784646,2
10-0-004175,656866.3382552752,4008530.689838317,13.37054188,2
10-0-004179,679341.2038349637,4081683.0749092456,11.74678588,2
10-0-004184,699359.6571051233,4117624.346776396,10.80840622,2
10-0-004187,746219.1317326911,4056630.782640628,3.08575187,
10-0-004188,753358.2949401068,4034864.3458001055,12.53655634,2
10-0-004189,766581.5937296278,4110487.0227599456,12.02758158,2
10-0-004190,717331.82401848,4013735.3951896406,6.8969437,
10-0-004734,808191.2776368979,4087993.6159067275,11.41497932,2
10-0-004736,823633.8883925116,4116941.975514633,11.02010656,2
10-0-004743,865003.4882350061,4051740.813658951,4.87160462,1
10-0-004745,848110.2868797649,4021054.6675291373,4.49167478,1
10-0-005318,947553.5179718395,4016074.2219691845,6.74167783,2
10-0-005319,905308.88998406,4073277.260350949,4.9818759,
10-0-005320,898158.6993361352,4080506.5036110994,4.04587549,
10-0-005321,892798.7657932139,4079663.39666098,7.76193475,
10-0-005322,930372.3495736464,4133060.2527533467,6.115503,1
10-0-005324,909672.2724538441,4107455.1890619616,3.5720177,
10-0-005325,907127.7141167555,4107705.1957486966,5.25064812,1
10-0-005326,931071.773211837,4102272.1094668545,4.55534378,
10-0-005327,900516.8118377576,4080299.126087292,47.13699684,2
10-0-005328,966670.7813016786,4120386.5235465686,3.0274283,1
10-0-005329,982821.8285017383,4142570.2540279697,4.4315127,1
10-0-005331,973748.5678082294,4070626.7099660756,6.12477042,2
10-0-006011,1020263.746835534,4011340.6784610087,3.93758183,1
10-0-006018,1127872.119856312,4055972.1211168524,4.13085333,1
10-0-006021,1084695.7854647855,4036074.0343898935,3.34761771,1
10-0-006026,1123019.306918205,4027657.070292043,10.21141605,2
10-0-006786,1178815.0085836316,4021934.1232466134,3.56580358,1
10-0-006791,1138527.0035777315,4060762.2966518113,5.90225417,1
10-0-006793,1142576.5191890346,4140638.168212562,8.16877539,2
10-0-006794,1154295.2518954584,4117095.2003335403,3.17972202,
10-0-006796,1160196.5560109352,4067310.6599181555,5.38029843,
10-0-006797,1196918.8095297932,4051274.4379798495,9.39362568,2
10-0-006798,1195933.4595623123,4114635.6970214713,50.15005321,2
10-0-006799,1244217.4732392416,4141616.118148075,7.26762409,
10-0-006800,1236022.2599751865,4138158.165300522,9.27693346,2
10-0-006802,1211935.4013044725,4076717.6404193453,34.63917773,2
10-0-006803,1235936.1214693151,4044062.3484501904,12.91561384,2
10-0-006804,1194216.8192911465,4038294.8305113767,4.10494059,1
10-0-006805,1250157.4489675115,4095862.2106673075,47.69154009,2
10-0-006806,1262100.9126727877,4041405.5769411256,18.84813869,2
10-0-006807,1269200.4808192882,4036138.433338497,13.58455255,2
10-0-006808,1265915.3022703687,4067511.000743563,13.75952448,2
10-0-006811,1209885.4964298354,4022965.992950497,5.44290067,
10-0-006812,1210178.7807084124,4005134.743153699,15.60096838,2
10-0-007543,1291806.5667175394,4018948.2687300346,3.80831087,1
10-0-007545,1265033.9196402838,4006989.6279948386,4.22211161,1
10-0-007546,1310569.237822739,4011656.0057663275,5.38653205,1
10-0-007547,1263419.9439215506,4021671.7484007212,17.05005574,2
10-0-007549,1274069.2347954218,4088762.682232633,3.96179254,1
10-0-007550,1313856.0226260943,4141921.4843050363,3.17768074,1
10-0-007551,1288532.5987576973,4082197.641184991,44.99325845,2
10-0-007552,1328164.0232580225,4141354.1635362776,5.23884363,1
10-0-007553,1361821.5539820732,4131472.528922148,4.99689334,1
10-0-007554,1361392.19861508,4100563.944410515,5.20672057,
10-0-007555,1340261.4757903113,4111584.195300998,27.9210262,2
10-0-007557,1341936.3190687431,4141927.05937117,9.03457914,2
10-0-007558,1347721.0749034088,4138696.9148925925,8.94557578,2
10-0-007559,1364920.6263205418,4137515.83126418,3.84325764,
10-0-007560,1353577.3351398783,4042929.8021560055,5.54463612,
10-0-007561,1378290.0160255043,4030820.2795996084,3.53356883,
10-0-007563,1327381.1751505148,4019597.861732457,16.07349616,2
10-0-007565,1347045.3610032047,4025695.7370134844,3.10808093,
10-0-007566,1384610.1506887795,4125150.3031645366,34.61725138,2
10-0-007567,1381270.0086024625,4073412.518828727,10.16422765,2
10-0-007568,1324949.65326489,4008729.359803483,17.83118052,2
10-0-007571,1384797.496263815,4025467.6068009078,8.23533781,2
10-0-007572,1361533.9277495646,4010152.9777755775,65.13823987,2
10-0-008274,1425117.363786213,4001715.1590421814,10.10081408,2
10-0-008276,1413570.8008103322,4037344.8951942814,4.61403788,1
10-0-008278,1413729.7968836455,4100958.6829199158,3.66053314,1
10-0-008279,1421965.155839749,4114940.7751195184,3.40573031,1
10-0-008281,1425592.8305097923,4136950.3751730802,3.12901283,
10-0-008282,1442533.4525264346,4143395.670841598,3.38415011,
10-0-008283,1393908.4328109096,4080935.6574553954,27.13550087,2
10-0-008286,1493607.9622468553,4116168.201262904,3.61033018,1
10-0-009045,1564818.3673306783,4044598.5037338967,25.76351517,2
10-0-009048,1564026.9551012723,4143221.295622953,18.60642731,2
10-0-009049,1531834.0071718555,4147693.134051846,5.59511096,1
10-0-009050,1526834.377836599,4129592.6131839324,8.66155681,2
10-0-009052,1579626.3908194988,4140380.784016983,15.15105568,2
10-0-009053,1585846.903923062,4033186.9846733925,13.57282864,2
10-0-009054,1584336.9079887148,4016898.466987601,7.80088714,2
10-0-009055,1601681.1621855376,4067866.1999071473,54.41978886,2
10-0-009056,1612015.4612301083,4093552.9994261935,37.08264013,2
10-0-009057,1604997.3989383094,4110627.3904307983,36.25992339,2
10-0-009058,1605657.4604521138,4057760.51710048,4.52505993,
10-0-009061,1619107.8913241473,4024105.506002852,33.35801155,2
10-0-009842,1660799.549330032,4016043.5490293102,10.10056686,2
10-0-009843,1675992.7218114578,4014041.7002052832,3.51111529,1
10-0-009844,1657875.787512606,4024087.310874191,6.35470525,
10-0-009846,1668394.1502758248,4062156.5918861013,68.29913027,2
10-0-009847,1685052.4698154356,4084376.7375188055,22.28618347,2
10-0-009848,1688975.6710004143,4101516.4633671255,34.81723791,2
10-0-009850,1647172.6070987682,4125480.429941077,7.8151682,2
10-0-009851,1689831.4252778965,4107551.6081889365,13.62972458,2
10-0-009853,1713380.7802409774,4023362.799438396,3.39246287,1
10-0-009854,1737490.0476428564,4100176.752333393,3.45437919,1
10-0-009856,1714917.6261110974,4107516.4027665276,18.52859632,2
10-0-009857,1724747.1297671464,4049012.5756817656,3.57946488,1
10-0-009858,1736593.4055956306,4063029.1780504724,58.30331953,2
10-0-009859,1761005.7423884415,4061744.7020170647,8.88037543,2
10-0-009860,1717933.8714357736,4124024.227527059,5.04301587,
10-0-009861,1744756.5441516426,4119091.5410680943,9.80436698,2
10-0-009862,1712227.1878646857,4001849.871037822,4.982517,
10-0-009865,1757128.490749178,4012302.8503547944,9.22381508,2
